UniqueCount	AmbigCount
1	2223
593	2296
0	2245
8	2472
117	2449
55	2475
0	2246
19	2306
0	2301
7	47
0	47
0	0
0	500
79	500
0	77
5	116
0	116
3	289
111	289
440	0
48	0
0	41
2	41
0	1385
268	1385
0	1318
3	504
17	504
151	504
6	63
0	8
0	63
68	0
1057	0
3	0
2	8
58	13
0	7954
1418	7954
0	0
419	0
3	0
369	0
47	0
9	232
52	231
14	75
9	86
30	428
0	1508
180	1508
0	0
584	0
0	432
11	605
0	520
0	689
0	372
0	740
0	1079
0	2004
3	378
0	822
0	706
0	833
0	1620
201	660
0	456
0	449
0	1989
22	804
0	2006
13	0
4	140
0	152
0	156
2	148
438	0
40	535
0	535
191	849
0	849
215	1084
24	1155
121	1127
2	1198
1	0
817	0
2	2559
36	2528
2255	2829
47	3156
559	3151
1645	3142
3	3161
0	81
3	81
4	438
0	587
0	514
22	1134
0	1134
395	0
30	0
2526	0
76	8147
1	7762
1	9830
53	8108
23	9512
0	8089
20	163
0	163
0	517
12	359
33	318
11	294
99	353
0	511
4	517
18	359
0	4
2	4
6	5
1	5
125	273
28	274
0	250
5	176
0	176
1905	615
52	615
204	0
2058	0
29	0
0	190
100	190
2	0
245	0
6836	0
0	0
0	13899
1	13096
75	971
42	1014
0	13100
75	13048
0	13944
27	0
0	0
0	0
8	2726
0	2726
0	0
159	0
0	0
24	24
5	24
0	0
2	0
64	0
11	0
1	0
24	170
0	74
0	0
429	0
317	1120
495	1120
0	742
2	741
97	744
109	744
41	745
335	0
0	11
0	7
0	10
2	89
36	89
1	1617
16	2017
0	1706
3	1617
36	2025
10	2122
9	600
0	383
0	496
0	618
0	675
0	750
9	0
31	1074
105	1014
0	952
0	954
69	910
82	911
25	911
0	730
6	730
12	1386
157	1387
61	1282
76	2705
0	2994
7	2594
0	2705
0	2842
0	2589
0	2553
342	1
8	400
0	0
0	0
0	0
1424	1757
0	1757
0	1120
0	1115
0	882
0	901
0	894
22	847
937	2071
15	2071
0	547
3	338
0	371
0	377
0	558
2	182
0	182
0	182
136	1764
40	1323
128	1115
18	1606
2	1757
0	7011
0	7006
4	7105
38	7100
13	0
0	1464
33	1464
3	23
0	23
0	0
0	2
0	2
1	0
7	1309
0	1309
5	0
1	43
0	43
0	33
520	0
1	0
0	0
269	0
136	2805
33	2805
0	0
12	0
2	28
0	28
20	201
1	202
2	202
242	0
33	831
29	831
2	219
18	219
100	120
0	120
0	347
0	366
0	366
0	347
0	0
0	0
104	4137
0	4336
1	3935
0	4339
27	3947
18	3961
23	3972
416	0
26	154
0	154
219	1064
0	1062
0	0
1	0
0	160
6	160
8	8485
278	8485
0	2
3	2
30	341
2	341
0	80
0	80
0	80
0	78
0	76
1	73
0	73
268	8505
0	8504
0	7069
0	213
198	208
36	164
25	1124
0	1001
0	1131
43	1454
68	1455
2	1455
10	1455
0	0
0	0
0	0
0	0
0	0
0	0
215	0
274	0
0	0
0	0
0	3121
37	3339
10	3289
0	3398
0	0
0	3332
47	3332
9380	0
5	0
2	605
0	575
0	605
44	0
0	436
0	385
76	0
823	0
0	366
26	366
0	0
539	0
152	665
5	0
0	0
0	210
9	732
0	722
0	194
0	740
0	200
0	742
0	43
0	39
244	1046
5	799
0	1046
1	0
131	0
26	154
46	154
0	1093
0	1093
0	809
24	256
0	256
581	0
0	4575
146	4168
88	4565
6	4013
0	0
0	3620
60	3391
49	3400
327	0
1	0
0	0
0	0
0	0
0	0
5	0
0	0
35	651
1	610
4	395
1	524
12	1937
17	1937
34	1900
229	2534
0	2288
336	2052
26	0
0	0
16	0
6	0
11	0
283	0
351	0
13713	0
1	6
0	1
0	5
360	0
354	0
2	0
129	0
84	0
0	336
0	369
8	180
0	164
18	180
122	0
4	115
56	115
72	0
7	528
0	528
0	0
361	0
364	0
0	52
3	50
0	48
228	1364
22	888
5	1289
0	468
71	823
462	1321
20	1321
12	1172
0	1168
0	4
0	4
185	0
550	0
0	0
2	229
26	229
0	0
0	0
0	0
811	0
2	500
14	540
20	537
26	538
3	0
0	34
8	34
2593	0
0	51
9	59
0	59
1444	0
0	379
105	379
4	0
819	0
6	94
